rank,variantIndex,recommendation,persona,context,metric
24,8,"Add role-specific lead magnets, calculators, templates, and diagnostic checklists. for Micro (< 5) Ocean operations",Audit Specialist,"Holiday Peak Season in LATAM",Empty Miles
24,9,"Add role-specific lead magnets, calculators, templates, and diagnostic checklists. for Small (5-20) FTL operations",Dispatcher,"Last-mile Delivery Surge in North America",Carbon Footprint
24,10,"Add role-specific lead magnets, calculators, templates, and diagnostic checklists. for Medium (20-100) LTL operations",Fleet Manager,"Extreme Weather Event in EMEA",On-time Delivery Rate
25,1,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Small (5-20) Intermodal operations",Dispatcher,"Holiday Peak Season in North America",On-time Delivery Rate
25,2,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Medium (20-100) Air Freight operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",Empty Miles
25,3,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Enterprise (> 100) Ocean operations",Broker Agent,"Extreme Weather Event in APAC",Carbon Footprint
25,4,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Micro (< 5) FTL operations",Compliance Officer,"Port Congestion in LATAM",On-time Delivery Rate
25,5,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Small (5-20) LTL operations",Warehouse Supervisor,"Carrier Shortage in North America",Empty Miles
25,6,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Medium (20-100) Intermodal operations",Carrier Owner,"Global Supply Chain Crisis in EMEA",Carbon Footprint
25,7,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Enterprise (> 100) Air Freight operations",Driver,"Holiday Peak Season in APAC",On-time Delivery Rate
25,8,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Micro (< 5) Ocean operations",Audit Specialist,"Last-mile Delivery Surge in LATAM",Empty Miles
25,9,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Small (5-20) FTL operations",Dispatcher,"Extreme Weather Event in North America",Carbon Footprint
25,10,"Add persistent search and command entry for loads, shipments, carriers, documents, and actions. for Medium (20-100) LTL operations",Fleet Manager,"Port Congestion in EMEA",On-time Delivery Rate
26,1,"Standardize alert severity, state badges, and recovery actions across the product. for Small (5-20) Intermodal operations",Dispatcher,"Last-mile Delivery Surge in North America",On-time Delivery Rate
26,2,"Standardize alert severity, state badges, and recovery actions across the product. for Medium (20-100) Air Freight operations",Fleet Manager,"Extreme Weather Event in EMEA",Empty Miles
26,3,"Standardize alert severity, state badges, and recovery actions across the product. for Enterprise (> 100) Ocean operations",Broker Agent,"Port Congestion in APAC",Carbon Footprint
26,4,"Standardize alert severity, state badges, and recovery actions across the product. for Micro (< 5) FTL operations",Compliance Officer,"Carrier Shortage in LATAM",On-time Delivery Rate
26,5,"Standardize alert severity, state badges, and recovery actions across the product. for Small (5-20) LTL operations",Warehouse Supervisor,"Global Supply Chain Crisis in North America",Empty Miles
26,6,"Standardize alert severity, state badges, and recovery actions across the product. for Medium (20-100) Intermodal operations",Carrier Owner,"Holiday Peak Season in EMEA",Carbon Footprint
26,7,"Standardize alert severity, state badges, and recovery actions across the product. for Enterprise (> 100) Air Freight operations",Driver,"Last-mile Delivery Surge in APAC",On-time Delivery Rate
26,8,"Standardize alert severity, state badges, and recovery actions across the product. for Micro (< 5) Ocean operations",Audit Specialist,"Extreme Weather Event in LATAM",Empty Miles
26,9,"Standardize alert severity, state badges, and recovery actions across the product. for Small (5-20) FTL operations",Dispatcher,"Port Congestion in North America",Carbon Footprint
26,10,"Standardize alert severity, state badges, and recovery actions across the product. for Medium (20-100) LTL operations",Fleet Manager,"Carrier Shortage in EMEA",On-time Delivery Rate
27,1,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Small (5-20) Intermodal operations",Dispatcher,"Extreme Weather Event in North America",On-time Delivery Rate
27,2,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Medium (20-100) Air Freight operations",Fleet Manager,"Port Congestion in EMEA",Empty Miles
27,3,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Enterprise (> 100) Ocean operations",Broker Agent,"Carrier Shortage in APAC",Carbon Footprint
27,4,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Micro (< 5) FTL operations",Compliance Officer,"Global Supply Chain Crisis in LATAM",On-time Delivery Rate
27,5,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Small (5-20) LTL operations",Warehouse Supervisor,"Holiday Peak Season in North America",Empty Miles
27,6,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Medium (20-100) Intermodal operations",Carrier Owner,"Last-mile Delivery Surge in EMEA",Carbon Footprint
27,7,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Enterprise (> 100) Air Freight operations",Driver,"Extreme Weather Event in APAC",On-time Delivery Rate
27,8,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Micro (< 5) Ocean operations",Audit Specialist,"Port Congestion in LATAM",Empty Miles
27,9,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Small (5-20) FTL operations",Dispatcher,"Carrier Shortage in North America",Carbon Footprint
27,10,"Add dispatch recommendations using buy rate, sell rate, margin thresholds, and service risk. for Medium (20-100) LTL operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",On-time Delivery Rate
28,1,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Small (5-20) Intermodal operations",Dispatcher,"Port Congestion in North America",On-time Delivery Rate
28,2,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Medium (20-100) Air Freight operations",Fleet Manager,"Carrier Shortage in EMEA",Empty Miles
28,3,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Enterprise (> 100) Ocean operations",Broker Agent,"Global Supply Chain Crisis in APAC",Carbon Footprint
28,4,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Micro (< 5) FTL operations",Compliance Officer,"Holiday Peak Season in LATAM",On-time Delivery Rate
28,5,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Small (5-20) LTL operations",Warehouse Supervisor,"Last-mile Delivery Surge in North America",Empty Miles
28,6,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Medium (20-100) Intermodal operations",Carrier Owner,"Extreme Weather Event in EMEA",Carbon Footprint
28,7,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Enterprise (> 100) Air Freight operations",Driver,"Port Congestion in APAC",On-time Delivery Rate
28,8,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Micro (< 5) Ocean operations",Audit Specialist,"Carrier Shortage in LATAM",Empty Miles
28,9,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Small (5-20) FTL operations",Dispatcher,"Global Supply Chain Crisis in North America",Carbon Footprint
28,10,"Build appointment scheduling and rescheduling workflows with notifications and accountability. for Medium (20-100) LTL operations",Fleet Manager,"Holiday Peak Season in EMEA",On-time Delivery Rate
29,1,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Small (5-20) Intermodal operations",Dispatcher,"Carrier Shortage in North America",On-time Delivery Rate
29,2,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Medium (20-100) Air Freight operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",Empty Miles
29,3,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Enterprise (> 100) Ocean operations",Broker Agent,"Holiday Peak Season in APAC",Carbon Footprint
29,4,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Micro (< 5) FTL operations",Compliance Officer,"Last-mile Delivery Surge in LATAM",On-time Delivery Rate
29,5,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Small (5-20) LTL operations",Warehouse Supervisor,"Extreme Weather Event in North America",Empty Miles
29,6,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Medium (20-100) Intermodal operations",Carrier Owner,"Port Congestion in EMEA",Carbon Footprint
29,7,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Enterprise (> 100) Air Freight operations",Driver,"Carrier Shortage in APAC",On-time Delivery Rate
29,8,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Micro (< 5) Ocean operations",Audit Specialist,"Global Supply Chain Crisis in LATAM",Empty Miles
29,9,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Small (5-20) FTL operations",Dispatcher,"Holiday Peak Season in North America",Carbon Footprint
29,10,"Capture detention, lumper, TONU, and layover events with timestamps and evidence. for Medium (20-100) LTL operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",On-time Delivery Rate
30,1,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Small (5-20) Intermodal operations",Dispatcher,"Global Supply Chain Crisis in North America",On-time Delivery Rate
30,2,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Medium (20-100) Air Freight operations",Fleet Manager,"Holiday Peak Season in EMEA",Empty Miles
30,3,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Enterprise (> 100) Ocean operations",Broker Agent,"Last-mile Delivery Surge in APAC",Carbon Footprint
30,4,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Micro (< 5) FTL operations",Compliance Officer,"Extreme Weather Event in LATAM",On-time Delivery Rate
30,5,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Small (5-20) LTL operations",Warehouse Supervisor,"Port Congestion in North America",Empty Miles
30,6,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Medium (20-100) Intermodal operations",Carrier Owner,"Carrier Shortage in EMEA",Carbon Footprint
30,7,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Enterprise (> 100) Air Freight operations",Driver,"Global Supply Chain Crisis in APAC",On-time Delivery Rate
30,8,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Micro (< 5) Ocean operations",Audit Specialist,"Holiday Peak Season in LATAM",Empty Miles
30,9,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Small (5-20) FTL operations",Dispatcher,"Last-mile Delivery Surge in North America",Carbon Footprint
30,10,"Implement document intelligence for BOL, POD, and rate confirmation ingestion and classification. for Medium (20-100) LTL operations",Fleet Manager,"Extreme Weather Event in EMEA",On-time Delivery Rate
31,1,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Small (5-20) Intermodal operations",Dispatcher,"Holiday Peak Season in North America",On-time Delivery Rate
31,2,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Medium (20-100) Air Freight operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",Empty Miles
31,3,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Enterprise (> 100) Ocean operations",Broker Agent,"Extreme Weather Event in APAC",Carbon Footprint
31,4,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Micro (< 5) FTL operations",Compliance Officer,"Port Congestion in LATAM",On-time Delivery Rate
31,5,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Small (5-20) LTL operations",Warehouse Supervisor,"Carrier Shortage in North America",Empty Miles
31,6,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Medium (20-100) Intermodal operations",Carrier Owner,"Global Supply Chain Crisis in EMEA",Carbon Footprint
31,7,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Enterprise (> 100) Air Freight operations",Driver,"Holiday Peak Season in APAC",On-time Delivery Rate
31,8,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Micro (< 5) Ocean operations",Audit Specialist,"Last-mile Delivery Surge in LATAM",Empty Miles
31,9,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Small (5-20) FTL operations",Dispatcher,"Extreme Weather Event in North America",Carbon Footprint
31,10,"Create carrier scorecards for on-time pickup, claims, communication, and paperwork quality. for Medium (20-100) LTL operations",Fleet Manager,"Port Congestion in EMEA",On-time Delivery Rate
32,1,"Automate check-call cadences with exception-triggered human escalation. for Small (5-20) Intermodal operations",Dispatcher,"Last-mile Delivery Surge in North America",On-time Delivery Rate
32,2,"Automate check-call cadences with exception-triggered human escalation. for Medium (20-100) Air Freight operations",Fleet Manager,"Extreme Weather Event in EMEA",Empty Miles
32,3,"Automate check-call cadences with exception-triggered human escalation. for Enterprise (> 100) Ocean operations",Broker Agent,"Port Congestion in APAC",Carbon Footprint
32,4,"Automate check-call cadences with exception-triggered human escalation. for Micro (< 5) FTL operations",Compliance Officer,"Carrier Shortage in LATAM",On-time Delivery Rate
32,5,"Automate check-call cadences with exception-triggered human escalation. for Small (5-20) LTL operations",Warehouse Supervisor,"Global Supply Chain Crisis in North America",Empty Miles
32,6,"Automate check-call cadences with exception-triggered human escalation. for Medium (20-100) Intermodal operations",Carrier Owner,"Holiday Peak Season in EMEA",Carbon Footprint
32,7,"Automate check-call cadences with exception-triggered human escalation. for Enterprise (> 100) Air Freight operations",Driver,"Last-mile Delivery Surge in APAC",On-time Delivery Rate
32,8,"Automate check-call cadences with exception-triggered human escalation. for Micro (< 5) Ocean operations",Audit Specialist,"Extreme Weather Event in LATAM",Empty Miles
32,9,"Automate check-call cadences with exception-triggered human escalation. for Small (5-20) FTL operations",Dispatcher,"Port Congestion in North America",Carbon Footprint
32,10,"Automate check-call cadences with exception-triggered human escalation. for Medium (20-100) LTL operations",Fleet Manager,"Carrier Shortage in EMEA",On-time Delivery Rate
33,1,"Add claims intake, investigation, and resolution workflows with document timelines. for Small (5-20) Intermodal operations",Dispatcher,"Extreme Weather Event in North America",On-time Delivery Rate
33,2,"Add claims intake, investigation, and resolution workflows with document timelines. for Medium (20-100) Air Freight operations",Fleet Manager,"Port Congestion in EMEA",Empty Miles
33,3,"Add claims intake, investigation, and resolution workflows with document timelines. for Enterprise (> 100) Ocean operations",Broker Agent,"Carrier Shortage in APAC",Carbon Footprint
33,4,"Add claims intake, investigation, and resolution workflows with document timelines. for Micro (< 5) FTL operations",Compliance Officer,"Global Supply Chain Crisis in LATAM",On-time Delivery Rate
33,5,"Add claims intake, investigation, and resolution workflows with document timelines. for Small (5-20) LTL operations",Warehouse Supervisor,"Holiday Peak Season in North America",Empty Miles
33,6,"Add claims intake, investigation, and resolution workflows with document timelines. for Medium (20-100) Intermodal operations",Carrier Owner,"Last-mile Delivery Surge in EMEA",Carbon Footprint
33,7,"Add claims intake, investigation, and resolution workflows with document timelines. for Enterprise (> 100) Air Freight operations",Driver,"Extreme Weather Event in APAC",On-time Delivery Rate
33,8,"Add claims intake, investigation, and resolution workflows with document timelines. for Micro (< 5) Ocean operations",Audit Specialist,"Port Congestion in LATAM",Empty Miles
33,9,"Add claims intake, investigation, and resolution workflows with document timelines. for Small (5-20) FTL operations",Dispatcher,"Carrier Shortage in North America",Carbon Footprint
33,10,"Add claims intake, investigation, and resolution workflows with document timelines. for Medium (20-100) LTL operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",On-time Delivery Rate
34,1,"Create invoice readiness queues that block billing until required evidence is complete. for Small (5-20) Intermodal operations",Dispatcher,"Port Congestion in North America",On-time Delivery Rate
34,2,"Create invoice readiness queues that block billing until required evidence is complete. for Medium (20-100) Air Freight operations",Fleet Manager,"Carrier Shortage in EMEA",Empty Miles
34,3,"Create invoice readiness queues that block billing until required evidence is complete. for Enterprise (> 100) Ocean operations",Broker Agent,"Global Supply Chain Crisis in APAC",Carbon Footprint
34,4,"Create invoice readiness queues that block billing until required evidence is complete. for Micro (< 5) FTL operations",Compliance Officer,"Holiday Peak Season in LATAM",On-time Delivery Rate
34,5,"Create invoice readiness queues that block billing until required evidence is complete. for Small (5-20) LTL operations",Warehouse Supervisor,"Last-mile Delivery Surge in North America",Empty Miles
34,6,"Create invoice readiness queues that block billing until required evidence is complete. for Medium (20-100) Intermodal operations",Carrier Owner,"Extreme Weather Event in EMEA",Carbon Footprint
34,7,"Create invoice readiness queues that block billing until required evidence is complete. for Enterprise (> 100) Air Freight operations",Driver,"Port Congestion in APAC",On-time Delivery Rate
34,8,"Create invoice readiness queues that block billing until required evidence is complete. for Micro (< 5) Ocean operations",Audit Specialist,"Carrier Shortage in LATAM",Empty Miles
34,9,"Create invoice readiness queues that block billing until required evidence is complete. for Small (5-20) FTL operations",Dispatcher,"Global Supply Chain Crisis in North America",Carbon Footprint
34,10,"Create invoice readiness queues that block billing until required evidence is complete. for Medium (20-100) LTL operations",Fleet Manager,"Holiday Peak Season in EMEA",On-time Delivery Rate
35,1,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Small (5-20) Intermodal operations",Dispatcher,"Carrier Shortage in North America",On-time Delivery Rate
35,2,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Medium (20-100) Air Freight operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",Empty Miles
35,3,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Enterprise (> 100) Ocean operations",Broker Agent,"Holiday Peak Season in APAC",Carbon Footprint
35,4,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Micro (< 5) FTL operations",Compliance Officer,"Last-mile Delivery Surge in LATAM",On-time Delivery Rate
35,5,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Small (5-20) LTL operations",Warehouse Supervisor,"Extreme Weather Event in North America",Empty Miles
35,6,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Medium (20-100) Intermodal operations",Carrier Owner,"Port Congestion in EMEA",Carbon Footprint
35,7,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Enterprise (> 100) Air Freight operations",Driver,"Carrier Shortage in APAC",On-time Delivery Rate
35,8,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Micro (< 5) Ocean operations",Audit Specialist,"Global Supply Chain Crisis in LATAM",Empty Miles
35,9,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Small (5-20) FTL operations",Dispatcher,"Holiday Peak Season in North America",Carbon Footprint
35,10,"Attach standard playbooks to delay, breakdown, temperature, and claim events. for Medium (20-100) LTL operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",On-time Delivery Rate
36,1,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Small (5-20) Intermodal operations",Dispatcher,"Global Supply Chain Crisis in North America",On-time Delivery Rate
36,2,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Medium (20-100) Air Freight operations",Fleet Manager,"Holiday Peak Season in EMEA",Empty Miles
36,3,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Enterprise (> 100) Ocean operations",Broker Agent,"Last-mile Delivery Surge in APAC",Carbon Footprint
36,4,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Micro (< 5) FTL operations",Compliance Officer,"Extreme Weather Event in LATAM",On-time Delivery Rate
36,5,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Small (5-20) LTL operations",Warehouse Supervisor,"Port Congestion in North America",Empty Miles
36,6,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Medium (20-100) Intermodal operations",Carrier Owner,"Carrier Shortage in EMEA",Carbon Footprint
36,7,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Enterprise (> 100) Air Freight operations",Driver,"Global Supply Chain Crisis in APAC",On-time Delivery Rate
36,8,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Micro (< 5) Ocean operations",Audit Specialist,"Holiday Peak Season in LATAM",Empty Miles
36,9,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Small (5-20) FTL operations",Dispatcher,"Last-mile Delivery Surge in North America",Carbon Footprint
36,10,"Add idempotency, retries, dead-letter handling, and replay tooling for async jobs. for Medium (20-100) LTL operations",Fleet Manager,"Extreme Weather Event in EMEA",On-time Delivery Rate
37,1,"Add dependency scanning, secret scanning, and container scanning into CI. for Small (5-20) Intermodal operations",Dispatcher,"Holiday Peak Season in North America",On-time Delivery Rate
37,2,"Add dependency scanning, secret scanning, and container scanning into CI. for Medium (20-100) Air Freight operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",Empty Miles
37,3,"Add dependency scanning, secret scanning, and container scanning into CI. for Enterprise (> 100) Ocean operations",Broker Agent,"Extreme Weather Event in APAC",Carbon Footprint
37,4,"Add dependency scanning, secret scanning, and container scanning into CI. for Micro (< 5) FTL operations",Compliance Officer,"Port Congestion in LATAM",On-time Delivery Rate
37,5,"Add dependency scanning, secret scanning, and container scanning into CI. for Small (5-20) LTL operations",Warehouse Supervisor,"Carrier Shortage in North America",Empty Miles
37,6,"Add dependency scanning, secret scanning, and container scanning into CI. for Medium (20-100) Intermodal operations",Carrier Owner,"Global Supply Chain Crisis in EMEA",Carbon Footprint
37,7,"Add dependency scanning, secret scanning, and container scanning into CI. for Enterprise (> 100) Air Freight operations",Driver,"Holiday Peak Season in APAC",On-time Delivery Rate
37,8,"Add dependency scanning, secret scanning, and container scanning into CI. for Micro (< 5) Ocean operations",Audit Specialist,"Last-mile Delivery Surge in LATAM",Empty Miles
37,9,"Add dependency scanning, secret scanning, and container scanning into CI. for Small (5-20) FTL operations",Dispatcher,"Extreme Weather Event in North America",Carbon Footprint
37,10,"Add dependency scanning, secret scanning, and container scanning into CI. for Medium (20-100) LTL operations",Fleet Manager,"Port Congestion in EMEA",On-time Delivery Rate
38,1,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Small (5-20) Intermodal operations",Dispatcher,"Last-mile Delivery Surge in North America",On-time Delivery Rate
38,2,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Medium (20-100) Air Freight operations",Fleet Manager,"Extreme Weather Event in EMEA",Empty Miles
38,3,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Enterprise (> 100) Ocean operations",Broker Agent,"Port Congestion in APAC",Carbon Footprint
38,4,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Micro (< 5) FTL operations",Compliance Officer,"Carrier Shortage in LATAM",On-time Delivery Rate
38,5,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Small (5-20) LTL operations",Warehouse Supervisor,"Global Supply Chain Crisis in North America",Empty Miles
38,6,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Medium (20-100) Intermodal operations",Carrier Owner,"Holiday Peak Season in EMEA",Carbon Footprint
38,7,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Enterprise (> 100) Air Freight operations",Driver,"Last-mile Delivery Surge in APAC",On-time Delivery Rate
38,8,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Micro (< 5) Ocean operations",Audit Specialist,"Extreme Weather Event in LATAM",Empty Miles
38,9,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Small (5-20) FTL operations",Dispatcher,"Port Congestion in North America",Carbon Footprint
38,10,"Introduce tenant-aware feature flags for controlled rollouts and experiments. for Medium (20-100) LTL operations",Fleet Manager,"Carrier Shortage in EMEA",On-time Delivery Rate
39,1,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Small (5-20) Intermodal operations",Dispatcher,"Extreme Weather Event in North America",On-time Delivery Rate
39,2,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Medium (20-100) Air Freight operations",Fleet Manager,"Port Congestion in EMEA",Empty Miles
39,3,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Enterprise (> 100) Ocean operations",Broker Agent,"Carrier Shortage in APAC",Carbon Footprint
39,4,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Micro (< 5) FTL operations",Compliance Officer,"Global Supply Chain Crisis in LATAM",On-time Delivery Rate
39,5,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Small (5-20) LTL operations",Warehouse Supervisor,"Holiday Peak Season in North America",Empty Miles
39,6,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Medium (20-100) Intermodal operations",Carrier Owner,"Last-mile Delivery Surge in EMEA",Carbon Footprint
39,7,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Enterprise (> 100) Air Freight operations",Driver,"Extreme Weather Event in APAC",On-time Delivery Rate
39,8,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Micro (< 5) Ocean operations",Audit Specialist,"Port Congestion in LATAM",Empty Miles
39,9,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Small (5-20) FTL operations",Dispatcher,"Carrier Shortage in North America",Carbon Footprint
39,10,"Add load lifecycle automation with status-driven tasks, reminders, and handoff rules. for Medium (20-100) LTL operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",On-time Delivery Rate
40,1,"Add configurable workflow templates by customer segment and freight mode. for Small (5-20) Intermodal operations",Dispatcher,"Port Congestion in North America",On-time Delivery Rate
40,2,"Add configurable workflow templates by customer segment and freight mode. for Medium (20-100) Air Freight operations",Fleet Manager,"Carrier Shortage in EMEA",Empty Miles
40,3,"Add configurable workflow templates by customer segment and freight mode. for Enterprise (> 100) Ocean operations",Broker Agent,"Global Supply Chain Crisis in APAC",Carbon Footprint
40,4,"Add configurable workflow templates by customer segment and freight mode. for Micro (< 5) FTL operations",Compliance Officer,"Holiday Peak Season in LATAM",On-time Delivery Rate
40,5,"Add configurable workflow templates by customer segment and freight mode. for Small (5-20) LTL operations",Warehouse Supervisor,"Last-mile Delivery Surge in North America",Empty Miles
40,6,"Add configurable workflow templates by customer segment and freight mode. for Medium (20-100) Intermodal operations",Carrier Owner,"Extreme Weather Event in EMEA",Carbon Footprint
40,7,"Add configurable workflow templates by customer segment and freight mode. for Enterprise (> 100) Air Freight operations",Driver,"Port Congestion in APAC",On-time Delivery Rate
40,8,"Add configurable workflow templates by customer segment and freight mode. for Micro (< 5) Ocean operations",Audit Specialist,"Carrier Shortage in LATAM",Empty Miles
40,9,"Add configurable workflow templates by customer segment and freight mode. for Small (5-20) FTL operations",Dispatcher,"Global Supply Chain Crisis in North America",Carbon Footprint
40,10,"Add configurable workflow templates by customer segment and freight mode. for Medium (20-100) LTL operations",Fleet Manager,"Holiday Peak Season in EMEA",On-time Delivery Rate
41,1,"Show shipment and customer profitability after accessorials, delays, and claims. for Small (5-20) Intermodal operations",Dispatcher,"Carrier Shortage in North America",On-time Delivery Rate
41,2,"Show shipment and customer profitability after accessorials, delays, and claims. for Medium (20-100) Air Freight operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",Empty Miles
41,3,"Show shipment and customer profitability after accessorials, delays, and claims. for Enterprise (> 100) Ocean operations",Broker Agent,"Holiday Peak Season in APAC",Carbon Footprint
41,4,"Show shipment and customer profitability after accessorials, delays, and claims. for Micro (< 5) FTL operations",Compliance Officer,"Last-mile Delivery Surge in LATAM",On-time Delivery Rate
41,5,"Show shipment and customer profitability after accessorials, delays, and claims. for Small (5-20) LTL operations",Warehouse Supervisor,"Extreme Weather Event in North America",Empty Miles
41,6,"Show shipment and customer profitability after accessorials, delays, and claims. for Medium (20-100) Intermodal operations",Carrier Owner,"Port Congestion in EMEA",Carbon Footprint
41,7,"Show shipment and customer profitability after accessorials, delays, and claims. for Enterprise (> 100) Air Freight operations",Driver,"Carrier Shortage in APAC",On-time Delivery Rate
41,8,"Show shipment and customer profitability after accessorials, delays, and claims. for Micro (< 5) Ocean operations",Audit Specialist,"Global Supply Chain Crisis in LATAM",Empty Miles
41,9,"Show shipment and customer profitability after accessorials, delays, and claims. for Small (5-20) FTL operations",Dispatcher,"Holiday Peak Season in North America",Carbon Footprint
41,10,"Show shipment and customer profitability after accessorials, delays, and claims. for Medium (20-100) LTL operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",On-time Delivery Rate
42,1,"Unify rate confirmations, BOL, POD, and invoices in a shipment-centric document workspace. for Small (5-20) Intermodal operations",Dispatcher,"Global Supply Chain Crisis in North America",On-time Delivery Rate
